TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:35.0,,,,,7.92586,8.70923,9.00876,8.47484
00:35.1,,,,,8.04106,8.68619,9.07788,8.47484
00:35.2,,,,,7.97194,8.70923,9.0318,8.49788
00:35.3,,,,,7.9489,8.61707,9.00876,8.49788
00:35.4,,,,,7.97194,8.68619,9.07788,8.47484
00:35.5,,,,,7.90282,8.70923,9.07788,8.52092
00:35.6,,,,,7.99498,8.70923,9.07788,8.52092
00:35.7,,,,,7.92586,8.64011,9.00876,8.4518
00:35.8,,,,,7.99498,8.68619,9.0318,8.59004
00:35.9,,,,,7.92586,8.66315,9.0318,8.47484
00:36.0,,,,,7.9489,8.70923,9.07788,8.54396
00:36.1,,,,,7.90282,8.64011,9.05484,8.59004
00:36.2,,,,,7.9489,8.66315,9.00876,8.52092
00:36.3,,,,,7.92586,8.64011,8.98572,8.52092
00:36.4,,,,,7.99498,8.68619,9.07788,8.54396
00:36.5,,,,,7.9489,8.61707,9.00876,8.52092
00:36.6,,,,,7.85674,8.68619,9.00876,8.49788
00:36.7,,,,,7.90282,8.64011,9.00876,8.54396
00:36.8,,,,,7.90282,8.73227,9.05484,8.47484
00:36.9,,,,,7.90282,8.66315,9.00876,8.49788
00:37.0,,,,,7.9489,8.70923,9.00876,8.54396
00:37.1,,,,,7.92586,8.66315,9.00876,8.47484
00:37.2,,,,,7.87978,8.70923,9.0318,8.47484
00:37.3,,,,,7.97194,8.64011,8.98572,8.52092
00:37.4,,,,,7.90282,8.61707,8.98572,8.52092
00:37.5,,,,,7.9489,8.68619,9.00876,8.47484
00:37.6,,,,,7.87978,8.66315,9.05484,8.49788
00:37.7,,,,,7.92586,8.66315,9.0318,8.52092
00:37.8,,,,,7.99498,8.64011,8.98572,8.49788
00:37.9,,,,,7.9489,8.70923,9.0318,8.52092
00:38.0,,,,,7.92586,8.66315,9.0318,8.47484
00:38.1,,,,,7.92586,8.66315,9.00876,8.54396
00:38.2,,,,,7.90282,8.66315,9.0318,8.49788
00:38.3,,,,,7.97194,8.68619,9.00876,8.4518
00:38.4,,,,,8.01802,8.64011,9.07788,8.52092
00:38.5,,,,,7.85674,8.68619,9.00876,8.4518
00:38.6,,,,,7.90282,8.64011,8.98572,8.49788
00:38.7,,,,,7.97194,8.66315,9.07788,8.47484
00:38.8,,,,,7.90282,8.64011,9.05484,8.52092
00:38.9,,,,,7.9489,8.68619,8.98572,8.567
00:39.0,,,,,7.92586,8.66315,8.98572,8.52092
00:39.1,,,,,7.90282,8.68619,8.98572,8.4518
00:39.2,,,,,7.90282,8.61707,9.00876,8.47484
00:39.3,,,,,7.9489,8.68619,8.96268,8.47484
00:39.4,,,,,7.90282,8.68619,8.98572,8.49788
00:39.5,,,,,7.90282,8.68619,9.0318,8.567
00:39.6,,,,,7.90282,8.66315,9.00876,8.49788
00:39.7,,,,,7.97194,8.70923,9.0318,8.59004
00:39.8,,,,,7.92586,8.61707,8.96268,8.49788
00:39.9,,,,,7.97194,8.66315,8.98572,8.49788
00:40.0,,,,,7.9489,8.66315,8.96268,8.52092
00:40.1,,,,,7.97194,8.64011,9.00876,8.42876
00:40.2,,,,,7.8337,8.64011,9.0318,8.47484
00:40.3,,,,,7.90282,8.68619,9.0318,8.47484
00:40.4,,,,,7.87978,8.64011,8.98572,8.52092
00:40.5,,,,,7.87978,8.68619,8.98572,8.49788
00:40.6,,,,,7.90282,8.61707,9.05484,8.42876
00:40.7,,,,,7.97194,8.68619,8.98572,8.52092
00:40.8,,,,,7.85674,8.61707,8.98572,8.47484
00:40.9,,,,,7.92586,8.64011,8.98572,8.49788
00:41.0,,,,,7.90282,8.68619,9.05484,8.52092
00:41.1,,,,,7.90282,8.70923,8.98572,8.49788
