TimeStamp_n,,Specification,Unit,Value_mA,Value_A,,TimeStamp_N
20:04.4,->,current ,ma,7994.98,7.99498,,00:32.100
20:04.5,->,current ,ma,7902.82,7.90282,,00:32.200
20:04.6,->,current ,ma,7948.9,7.9489,,00:32.300
20:04.8,->,current ,ma,7971.94,7.97194,,00:32.400
20:04.9,->,current ,ma,7879.78,7.87978,,00:32.500
20:05.0,->,current ,ma,7948.9,7.9489,,00:32.600
20:05.1,->,current ,ma,7902.82,7.90282,,00:32.700
20:05.2,->,current ,ma,7948.9,7.9489,,00:32.800
20:05.4,->,current ,ma,7833.7,7.8337,,00:32.900
20:05.5,->,current ,ma,7948.9,7.9489,,00:33.000
20:05.6,->,current ,ma,7902.82,7.90282,,00:33.100
20:05.7,->,current ,ma,7902.82,7.90282,,00:33.200
20:05.8,->,current ,ma,7925.86,7.92586,,00:33.300
20:05.9,->,current ,ma,7948.9,7.9489,,00:33.400
20:06.1,->,current ,ma,7948.9,7.9489,,00:33.500
20:06.2,->,current ,ma,7925.86,7.92586,,00:33.600
20:06.3,->,current ,ma,7925.86,7.92586,,00:33.700
20:06.5,->,current ,ma,7948.9,7.9489,,00:33.800
20:06.6,->,current ,ma,7925.86,7.92586,,00:33.900
20:06.7,->,current ,ma,7902.82,7.90282,,00:34.000
20:06.8,->,current ,ma,7971.94,7.97194,,00:34.100
20:06.9,->,current ,ma,7925.86,7.92586,,00:34.200
20:07.1,->,current ,ma,7971.94,7.97194,,00:34.300
20:07.2,->,current ,ma,7925.86,7.92586,,00:34.400
20:07.3,->,current ,ma,7994.98,7.99498,,00:34.500
20:07.4,->,current ,ma,7971.94,7.97194,,00:34.600
20:07.5,->,current ,ma,7902.82,7.90282,,00:34.700
20:07.7,->,current ,ma,7994.98,7.99498,,00:34.800
20:07.8,->,current ,ma,7948.9,7.9489,,00:34.900
20:07.9,->,current ,ma,7948.9,7.9489,,00:35.000
20:08.0,->,current ,ma,7948.9,7.9489,,00:35.100
20:08.1,->,current ,ma,8018.02,8.01802,,00:35.200
20:08.3,->,current ,ma,7925.86,7.92586,,00:35.300
20:08.4,->,current ,ma,8041.06,8.04106,,00:35.400
20:08.5,->,current ,ma,7971.94,7.97194,,00:35.500
20:08.7,->,current ,ma,7948.9,7.9489,,00:35.600
20:08.7,->,current ,ma,7971.94,7.97194,,00:35.700
20:08.9,->,current ,ma,7902.82,7.90282,,00:35.800
20:09.0,->,current ,ma,7994.98,7.99498,,00:35.900
20:09.1,->,current ,ma,7925.86,7.92586,,00:36.000
20:09.2,->,current ,ma,7994.98,7.99498,,00:36.100
20:09.4,->,current ,ma,7925.86,7.92586,,00:36.200
20:09.5,->,current ,ma,7948.9,7.9489,,00:36.300
20:09.6,->,current ,ma,7902.82,7.90282,,00:36.400
20:09.7,->,current ,ma,7948.9,7.9489,,00:36.500
20:09.8,->,current ,ma,7925.86,7.92586,,00:36.600
20:10.0,->,current ,ma,7994.98,7.99498,,00:36.700
20:10.1,->,current ,ma,7948.9,7.9489,,00:36.800
20:10.2,->,current ,ma,7856.74,7.85674,,00:36.900
20:10.3,->,current ,ma,7902.82,7.90282,,00:37.000
20:10.5,->,current ,ma,7902.82,7.90282,,00:37.100
20:10.6,->,current ,ma,7902.82,7.90282,,00:37.200
20:10.7,->,current ,ma,7948.9,7.9489,,00:37.300
20:10.8,->,current ,ma,7925.86,7.92586,,00:37.400
20:10.9,->,current ,ma,7879.78,7.87978,,00:37.500
20:11.0,->,current ,ma,7971.94,7.97194,,00:37.600
20:11.2,->,current ,ma,7902.82,7.90282,,00:37.700
20:11.3,->,current ,ma,7948.9,7.9489,,00:37.800
20:11.4,->,current ,ma,7879.78,7.87978,,00:37.900
20:11.6,->,current ,ma,7925.86,7.92586,,00:38.000
20:11.6,->,current ,ma,7994.98,7.99498,,00:38.100
20:11.8,->,current ,ma,7948.9,7.9489,,00:38.200
20:11.9,->,current ,ma,7925.86,7.92586,,00:38.300
20:12.0,->,current ,ma,7925.86,7.92586,,00:38.400
20:12.2,->,current ,ma,7902.82,7.90282,,00:38.500
20:12.3,->,current ,ma,7971.94,7.97194,,00:38.600
20:12.4,->,current ,ma,8018.02,8.01802,,00:38.700
20:12.5,->,current ,ma,7856.74,7.85674,,00:38.800
20:12.6,->,current ,ma,7902.82,7.90282,,00:38.900
20:12.8,->,current ,ma,7971.94,7.97194,,00:39.000
20:12.9,->,current ,ma,7902.82,7.90282,,00:39.100
20:13.0,->,current ,ma,7948.9,7.9489,,00:39.200
20:13.1,->,current ,ma,7925.86,7.92586,,00:39.300
20:13.2,->,current ,ma,7902.82,7.90282,,00:39.400
20:13.4,->,current ,ma,7902.82,7.90282,,00:39.500
20:13.5,->,current ,ma,7948.9,7.9489,,00:39.600
20:13.6,->,current ,ma,7902.82,7.90282,,00:39.700
20:13.7,->,current ,ma,7902.82,7.90282,,00:39.800
20:13.8,->,current ,ma,7902.82,7.90282,,00:39.900
20:14.0,->,current ,ma,7971.94,7.97194,,00:40.000
20:14.1,->,current ,ma,7925.86,7.92586,,00:40.100
20:14.2,->,current ,ma,7971.94,7.97194,,00:40.200
20:14.3,->,current ,ma,7948.9,7.9489,,00:40.300
20:14.4,->,current ,ma,7971.94,7.97194,,00:40.400
20:14.6,->,current ,ma,7833.7,7.8337,,00:40.500
20:14.7,->,current ,ma,7902.82,7.90282,,00:40.600
20:14.8,->,current ,ma,7879.78,7.87978,,00:40.700
20:14.9,->,current ,ma,7879.78,7.87978,,00:40.800
20:15.0,->,current ,ma,7902.82,7.90282,,00:40.900
20:15.2,->,current ,ma,7971.94,7.97194,,00:41.000
20:15.3,->,current ,ma,7856.74,7.85674,,00:41.100
20:15.4,->,current ,ma,7925.86,7.92586,,00:41.200
20:15.5,->,current ,ma,7902.82,7.90282,,00:41.300
20:15.6,->,current ,ma,7902.82,7.90282,,00:41.400
20:15.8,->,current ,ma,7925.86,7.92586,,00:41.500
20:15.9,->,current ,ma,7879.78,7.87978,,00:41.600
20:16.0,->,current ,ma,7879.78,7.87978,,00:41.700
20:16.1,->,current ,ma,7902.82,7.90282,,00:41.800
20:16.2,->,current ,ma,7902.82,7.90282,,00:41.900
20:16.4,->,current ,ma,7925.86,7.92586,,00:42.000
20:16.5,->,current ,ma,7902.82,7.90282,,00:42.100
20:16.6,->,current ,ma,7971.94,7.97194,,00:42.200
20:16.8,->,current ,ma,7879.78,7.87978,,00:42.300
20:16.9,->,current ,ma,7925.86,7.92586,,00:42.400
20:17.0,->,current ,ma,7902.82,7.90282,,00:42.500
20:17.1,->,current ,ma,7948.9,7.9489,,00:42.600
20:17.2,->,current ,ma,7879.78,7.87978,,00:42.700
20:17.4,->,current ,ma,7902.82,7.90282,,00:42.800
20:17.5,->,current ,ma,7902.82,7.90282,,00:42.900
20:17.6,->,current ,ma,7925.86,7.92586,,00:43.000
20:17.7,->,current ,ma,7925.86,7.92586,,00:43.100
20:17.8,->,current ,ma,7879.78,7.87978,,00:43.200
20:18.0,->,current ,ma,7925.86,7.92586,,00:43.300
20:18.1,->,current ,ma,7902.82,7.90282,,00:43.400
20:18.2,->,current ,ma,7879.78,7.87978,,00:43.500
20:18.3,->,current ,ma,7879.78,7.87978,,00:43.600
20:18.4,->,current ,ma,7902.82,7.90282,,00:43.700
20:18.6,->,current ,ma,7902.82,7.90282,,00:43.800
20:18.7,->,current ,ma,7971.94,7.97194,,00:43.900
20:18.8,->,current ,ma,7925.86,7.92586,,00:44.000
20:18.9,->,current ,ma,7879.78,7.87978,,00:44.100
20:19.1,->,current ,ma,7879.78,7.87978,,00:44.200
20:19.2,->,current ,ma,7856.74,7.85674,,00:44.300
20:19.3,->,current ,ma,7902.82,7.90282,,00:44.400
20:19.4,->,current ,ma,7879.78,7.87978,,00:44.500
20:19.6,->,current ,ma,7925.86,7.92586,,00:44.600
20:19.6,->,current ,ma,7948.9,7.9489,,00:44.700
20:19.8,->,current ,ma,8041.06,8.04106,,00:44.800
20:19.9,->,current ,ma,7925.86,7.92586,,00:44.900
20:20.0,->,current ,ma,7948.9,7.9489,,00:45.000
20:20.2,->,current ,ma,7810.66,7.81066,,00:45.100
