TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:11:18.743 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:17.400
16:11:18.838 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:17.500
16:11:18.965 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:17.600
16:11:19.112 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:17.700
16:11:19.210 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:17.800
16:11:19.346 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:17.900
16:11:19.488 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:18.000
16:11:19.582 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:18.100
16:11:19.724 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:18.200
16:11:19.818 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:18.300
16:11:19.946 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:18.400
16:11:20.087 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:18.500
16:11:20.181 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:18.600
16:11:20.325 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:18.700
16:11:20.419 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:18.800
16:11:20.560 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:18.900
16:11:20.703 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:19.000
16:11:20.799 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:19.100
16:11:20.940 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:19.200
16:11:21.035 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:19.300
16:11:21.182 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:19.400
16:11:21.271 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:19.500
16:11:21.412 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:19.600
16:11:21.522 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:19.700
16:11:21.664 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:19.800
16:11:21.764 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:19.900
16:11:21.903 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:20.000
16:11:21.999 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:20.100
16:11:22.141 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:20.200
16:11:22.237 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:20.300
16:11:22.365 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:20.400
16:11:22.507 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:20.500
16:11:22.603 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:20.600
16:11:22.745 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:20.700
16:11:22.841 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:20.800
16:11:22.982 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:20.900
16:11:23.124 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:21.000
16:11:23.217 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:21.100
16:11:23.358 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:21.200
16:11:23.453 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:21.300
16:11:23.596 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:21.400
16:11:23.693 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:21.500
16:11:23.834 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:21.600
16:11:23.931 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:21.700
16:11:24.071 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:21.800
16:11:24.212 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:21.900
16:11:24.306 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:22.000
16:11:24.446 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:22.100
16:11:24.572 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:22.200
16:11:24.666 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:22.300
16:11:24.809 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:22.400
16:11:24.919 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:22.500
16:11:25.062 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:22.600
16:11:25.158 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:22.700
16:11:25.301 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:22.800
16:11:25.398 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:22.900
16:11:25.539 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:23.000
16:11:25.665 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:23.100
16:11:25.760 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:23.200
16:11:25.935 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:23.300
16:11:26.029 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:23.400
16:11:26.123 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:23.500
16:11:26.267 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:23.600
16:11:26.362 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:23.700
16:11:26.491 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:23.800
16:11:26.604 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:23.900
16:11:26.746 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:24.000
16:11:26.841 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:24.100
16:11:26.972 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:24.200
16:11:27.112 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:24.300
16:11:27.239 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:24.400
16:11:27.335 -> The value of current in ma : 9239.16,,,,current,9239.16,9.23916,,0:00:24.500
16:11:27.478 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:24.600
16:11:27.581 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:24.700
16:11:27.708 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:24.800
16:11:27.846 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:24.900
16:11:27.943 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:25.000
16:11:28.085 -> The value of current in ma : 9193.08,,,,current,9193.08,9.19308,,0:00:25.100
16:11:28.195 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:25.200
16:11:28.291 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:25.300
16:11:28.433 -> The value of current in ma : 9170.04,,,,current,9170.04,9.17004,,0:00:25.400
16:11:28.567 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:25.500
16:11:28.671 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:25.600
16:11:28.798 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:25.700
16:11:28.946 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:25.800
16:11:29.050 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:25.900
16:11:29.144 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:26.000
16:11:29.287 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:26.100
