F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
62.96610169,77,51,63.20775537,5.545356421,-0.538008463,1.218204943,1.003837838,0
61.00847458,68,42,61.35344948,6.524766443,-0.630619403,1.108332141,1.005654541,0
62.61864407,77,51,62.88589344,5.816157118,-0.343556154,1.224439947,1.004267888,0
62.70338983,68,51,62.99266839,6.055737298,-0.756152243,1.079490705,1.004613444,0
63.18644068,68,51,63.38956766,5.092224931,-0.657101577,1.072731721,1.003214724,0
62.95762712,77,51,63.22994088,5.886960918,-0.4701972,1.217777511,1.00432535,0
63.58474576,77,42,63.8925873,6.291122861,-0.671335092,1.205147628,1.004841437,0
62.40677966,77,51,62.65955904,5.646627143,-0.413780338,1.228862781,1.004050511,0
61.04237288,68,42,61.47570831,7.317458421,-0.943815849,1.106127963,1.007098928,0
62.50847458,68,51,62.70133673,4.935040873,-0.404093596,1.084506385,1.003085376,0
63.33050847,77,51,63.56546072,5.483549734,-0.426346477,1.211349672,1.003709938,0
63.28813559,77,42,63.64693397,6.777415607,-0.911758965,1.209799046,1.005669283,0
64.07627119,77,51,64.37239381,6.19367858,-0.541790099,1.196164931,1.004621408,0
68.58474576,531,51,82.03198012,45.19612083,9.472185233,6.473085243,1.196067423,0
66.11016949,111,51,66.50901557,7.303884809,2.058237445,1.668946669,1.006033052,0
63.09322034,77,42,63.4392142,6.644819701,-0.467261642,1.213760305,1.005483852,0
62.54237288,77,42,62.9337828,7.037924213,-0.89233083,1.223508211,1.006258316,0
62.55932203,77,51,62.79452637,5.45305117,-0.387153087,1.226221527,1.003759701,0
61.36440678,77,42,61.87172351,7.940661617,-0.545526219,1.244510346,1.00826728,0
61.21186441,77,42,61.51195281,6.094486362,-0.249202568,1.251789229,1.004902455,0
61.97457627,77,42,62.26984742,6.082708945,-0.734425982,1.236553536,1.004764392,0
62.83898305,77,51,63.08918895,5.637133203,-0.337739771,1.220494371,1.003981699,0
62.57627119,77,51,62.79115235,5.212422341,-0.287452062,1.226287417,1.003433908,0
61.78813559,77,42,62.18350373,7.03088631,-0.789531801,1.238270528,1.006398771,0
61.90677966,68,51,62.15719547,5.597599131,-0.480035048,1.094000453,1.004045047,0
62.61864407,68,51,62.84464299,5.347608286,-0.58619602,1.082033357,1.003609132,0
69.58474576,342,51,75.97830868,30.63692155,7.602976886,4.501284721,1.091881674,0
62.83050847,85,42,63.28654233,7.616115488,-0.760941361,1.343097551,1.00725816,0
63.55084746,77,42,63.86937146,6.397912931,-1.091481289,1.205585686,1.005012113,0
61.20338983,68,42,61.5558173,6.605565281,-0.539958953,1.104688443,1.0057583,0
64,77,51,64.2460841,5.641724898,-0.770419401,1.198516627,1.003845064,0
61.44067797,77,42,61.78105134,6.503834993,-0.471864419,1.246336835,1.00553987,0
63.87288136,77,51,64.08898739,5.281068608,-0.762570555,1.201454464,1.003383377,0
61.10169492,77,42,61.44006312,6.466732527,-0.52889742,1.253253921,1.005537788,0
61.3559322,77,51,61.70308895,6.563985426,-0.324642161,1.247911593,1.00565808,0
