test,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29
27,8.08714,6.204,6.359,6.394,6.549,6.221,6.532,6.376,6.394,6.446,6.826,6.29,6.843,6.912,6.411,6.29,6.29,6.255,6.687,6.532,6.169,6.359,6.342,6.446,6.636,6.134,6.791,6.238,6.325,6.446
28,8.04106,6.204,6.359,6.428,6.515,6.204,6.497,6.359,6.342,6.463,6.843,6.325,6.843,6.929,6.411,6.29,6.29,6.273,6.67,6.549,6.186,6.376,6.342,6.446,6.653,6.134,6.791,6.255,6.307,6.411
29,8.0641,6.169,6.359,6.376,6.515,6.204,6.584,6.376,6.359,6.428,6.791,6.29,6.843,6.912,6.428,6.29,6.307,6.255,6.687,6.515,6.221,6.359,6.359,6.463,6.636,6.117,6.791,6.255,6.307,6.394
30,7.9489,6.186,6.376,6.342,6.515,6.221,6.532,6.359,6.342,6.463,6.808,6.307,6.878,6.895,6.446,6.273,6.307,6.29,6.67,6.515,6.186,6.376,6.342,6.463,6.653,6.152,6.791,6.255,6.307,6.394
31,8.04106,6.204,6.359,6.359,6.515,6.204,6.515,6.376,6.359,6.463,6.808,6.29,6.843,6.964,6.446,6.307,6.307,6.29,6.705,6.549,6.152,6.359,6.342,6.463,6.636,6.152,6.791,6.255,6.307,6.376
32,7.9489,6.186,6.359,6.325,6.497,6.221,6.584,6.376,6.376,6.463,6.826,6.325,6.843,6.912,6.411,6.307,6.307,6.29,6.653,6.549,6.169,6.359,6.342,6.497,6.618,6.1,6.791,6.238,6.307,6.411
33,7.99498,6.204,6.359,6.342,6.515,6.204,6.584,6.376,6.342,6.463,6.808,6.29,6.878,6.912,6.446,6.307,6.307,6.29,6.687,6.532,6.169,6.394,6.342,6.463,6.618,6.117,6.791,6.255,6.29,6.394
34,7.99498,6.221,6.376,6.394,6.48,6.186,6.601,6.376,6.359,6.463,6.808,6.307,6.86,6.912,6.428,6.325,6.273,6.238,6.653,6.532,6.186,6.359,6.325,6.48,6.618,6.083,6.791,6.255,6.307,6.376
35,8.08714,6.204,6.342,6.376,6.48,6.169,6.549,6.359,6.359,6.48,6.826,6.307,6.843,6.929,6.428,6.29,6.307,6.307,6.67,6.532,6.186,6.394,6.342,6.463,6.618,6.083,6.791,6.238,6.273,6.411
36,7.97194,6.186,6.376,6.411,6.48,6.169,6.636,6.394,6.359,6.446,6.826,6.29,6.843,6.912,6.463,6.29,6.29,6.29,6.653,6.532,6.169,6.376,6.342,6.463,6.618,6.065,6.808,6.273,6.273,6.359
37,7.99498,6.204,6.342,6.394,6.497,6.169,6.618,6.376,6.342,6.497,6.826,6.29,6.878,6.912,6.394,6.307,6.273,6.273,6.653,6.515,6.204,6.376,6.359,6.463,6.653,6.1,6.791,6.238,6.29,6.394
38,8.01802,6.204,6.342,6.273,6.463,6.186,6.549,6.359,6.342,6.428,6.791,6.29,6.878,6.912,6.394,6.307,6.29,6.273,6.636,6.515,6.186,6.359,6.342,6.48,6.636,6.117,6.808,6.255,6.307,6.376
39,8.01802,6.186,6.359,6.325,6.446,6.186,6.653,6.394,6.359,6.428,6.791,6.325,6.843,6.912,6.411,6.29,6.273,6.273,6.653,6.497,6.186,6.376,6.359,6.48,6.601,6.117,6.808,6.255,6.29,6.359
40,8.0641,6.186,6.359,6.376,6.446,6.204,6.584,6.359,6.359,6.463,6.791,6.307,6.843,6.895,6.428,6.307,6.29,6.273,6.67,6.532,6.186,6.359,6.342,6.463,6.618,6.1,6.791,6.221,6.307,6.394
