I_mean,I_max,I_min,I_rms,I_std_dev,I_skewness,I_crest_factor,I_form_factor,fault_type
7.864172258,7.9489,7.78762,7.864262376,0.038270957,0.286538202,1.010762309,1.000011459,0
7.889441935,7.9489,7.85674,7.889495707,0.029609877,0.644274758,1.007529542,1.000006816,0
7.917684516,8.04106,7.8337,7.917780862,0.039705698,0.843997861,1.01556991,1.000012168,0
7.906536129,7.97194,7.8337,7.906651125,0.043348185,-0.184660081,1.008257463,1.000014544,0
7.908765806,7.99498,7.81066,7.908865334,0.04033327,0.015219259,1.010888372,1.000012585,0
7.901333548,7.99498,7.8337,7.901463441,0.046055219,0.469360835,1.011835347,1.000016439,0
7.882009677,7.9489,7.78762,7.882093004,0.036842316,-0.115892826,1.008475794,1.000010572,0
7.867145161,7.92586,7.81066,7.867218816,0.03460539,0.036308778,1.007453865,1.000009362,0
7.873090968,7.9489,7.8337,7.873152288,0.031587243,0.731077526,1.009621014,1.000007789,0
7.869374839,7.9489,7.81066,7.869463704,0.038016563,0.170653205,1.010094245,1.000011293,0
7.862685806,7.9489,7.81066,7.86278374,0.039892145,0.438246937,1.010952388,1.000012455,0
7.868631613,7.9489,7.78762,7.868700971,0.033584158,-0.172108029,1.010192156,1.000008815,0
8.051466774,8.20235,7.8337,8.051947097,0.089401735,-1.083620062,1.018679072,1.000059657,0
8.076736452,8.27147,7.9489,8.077011749,0.067788809,0.770594843,1.024075519,1.000034085,0
7.989777419,8.08714,7.92586,7.989890387,0.043189883,0.447730738,1.012171583,1.000014139,0
7.979372258,8.08714,7.85674,7.979514725,0.048470632,-0.227825523,1.013487697,1.000017854,0
7.960791613,8.0641,7.87978,7.960875225,0.037089376,0.404559125,1.012966511,1.000010503,0
7.950386452,8.04106,7.90282,7.950444466,0.03087445,0.941261852,1.011397543,1.000007297,0
7.955589032,8.01802,7.90282,7.955645412,0.030446264,0.163894587,1.007840293,1.000007087,0
7.939238065,8.01802,7.90282,7.939300127,0.031910854,0.666356113,1.009915216,1.000007817,0
7.923630323,7.99498,7.81066,7.923724017,0.039170186,-0.317598546,1.008992739,1.000011825,0
7.935521935,7.99498,7.85674,7.935581869,0.031351446,-0.582229155,1.007485038,1.000007553,0
7.937008387,7.99498,7.8337,7.93708362,0.035129247,-0.60065228,1.007294415,1.000009479,0
7.945927097,8.04106,7.85674,7.946036448,0.042376039,0.168091944,1.01195861,1.000013762,0
7.929576129,8.01802,7.8337,7.929675674,0.040389838,-0.064420781,1.011140976,1.000012554,0
7.905792903,7.97194,7.85674,7.90583783,0.027093274,0.786138192,1.008361185,1.000005683,0
7.914711613,8.04106,7.81066,7.914858454,0.049009341,0.42040326,1.01594489,1.000018553,0
7.914711613,7.99498,7.85674,7.914802203,0.038494027,0.107520582,1.010130108,1.000011446,0
7.890928387,7.9489,7.85674,7.890978019,0.028449793,0.550519987,1.007340279,1.00000629,0
7.876807097,7.92586,7.81066,7.876860885,0.029590594,-0.046732251,1.00622064,1.000006829,0
7.868631613,7.92586,7.81066,7.868679209,0.027820879,0.081122293,1.007266886,1.000006049,0
7.870118065,7.92586,7.76458,7.870204605,0.037517815,-0.401367844,1.007071658,1.000010996,0
7.875320645,7.9489,7.81066,7.875399834,0.035900704,0.230924346,1.009332881,1.000010055,0
7.876807097,7.9489,7.78762,7.876889146,0.036546764,0.065049176,1.009142042,1.000010417,0
7.910995484,8.04106,7.8337,7.911087582,0.03880417,1.007114434,1.016429147,1.000011642,0
7.91694129,7.99498,7.8337,7.917053065,0.04276488,-0.391040984,1.009842922,1.000014118,0
7.904306452,7.99498,7.81066,7.904410299,0.041187497,0.158650901,1.011458122,1.000013138,0
7.896130968,7.99498,7.8337,7.896246325,0.04338767,0.578486912,1.012503875,1.000014609,0
7.890185161,7.97194,7.78762,7.890293325,0.041997191,0.08294323,1.010347736,1.000013709,0
7.872347742,7.9489,7.81066,7.872437767,0.038270957,-0.006650133,1.00971265,1.000011436,0
7.876063871,7.9489,7.8337,7.87612061,0.030389969,0.689184442,1.009240512,1.000007204,0
7.864172258,7.9489,7.81066,7.864251489,0.035884801,0.438851114,1.010763709,1.000010075,0
7.861199355,7.9489,7.81066,7.861283043,0.036873289,0.496867327,1.011145376,1.000010646,0
7.873090968,7.9489,7.78762,7.873178388,0.037715079,-0.180560466,1.009617668,1.000011104,0
8.004643226,8.20235,7.81066,8.005453501,0.115780011,-0.316799694,1.024595296,1.000101226,0
8.087141935,8.27147,7.99498,8.087374875,0.062396062,1.195034299,1.022763273,1.000028804,0
7.995723226,8.08714,7.92586,7.995876317,0.05029686,0.367040176,1.011413844,1.000019147,0
7.987547742,8.08714,7.85674,7.987675057,0.045844041,-0.633316595,1.012452302,1.000015939,0
7.968223871,8.0641,7.92586,7.968301444,0.035741357,0.745107328,1.012022456,1.000009735,0
7.942210968,8.04106,7.87978,7.942276067,0.032688419,1.002569543,1.012437736,1.000008197,0
7.956332258,7.99498,7.90282,7.956382593,0.028769016,-0.115415489,1.004851125,1.000006326,0
7.942210968,8.01802,7.90282,7.942280379,0.033753691,0.61011585,1.009536256,1.00000874,0
7.931062581,7.99498,7.81066,7.931161272,0.040219894,-0.571275576,1.008046581,1.000012444,0
7.92586,7.97194,7.85674,7.925914013,0.029744512,-0.397448222,1.005807026,1.000006815,0
7.941467742,7.99498,7.8337,7.941546202,0.035884801,-0.778367486,1.006728387,1.00000988,0
7.954102581,8.04106,7.90282,7.954179458,0.035549198,0.468174544,1.010922628,1.000009665,0
7.922887097,8.01802,7.85674,7.922972991,0.037502598,0.56873803,1.011996382,1.000010841,0
7.913225161,7.97194,7.8337,7.913302715,0.035613366,0.154694069,1.007409964,1.0000098,0
7.910995484,8.04106,7.81066,7.911117886,0.04473495,0.950335521,1.016425253,1.000015472,0
7.916198065,7.99498,7.8337,7.916301407,0.041118146,-0.103485284,1.009938807,1.000013055,0
7.893158065,7.9489,7.85674,7.893224828,0.033001234,0.445223778,1.007053539,1.000008458,0
7.882009677,7.92586,7.81066,7.882060416,0.028749168,-0.304251998,1.00555687,1.000006437,0
7.872347742,7.92586,7.81066,7.872402964,0.029973908,0.067594872,1.006790434,1.000007015,0
